Date,Product,Qty_Units,Group_Qty_Kg,Avg_Rate,Total_Amount,Category,Year,Month,Month_Name,Quarter,Week,Revenue_per_Kg
2021-04-27,Cheese Spread Pepper 200gm,1.0,0.2,69.01,69.01,Cheese,2021,4,Apr,2,17,345.05
2021-04-27,Cheese Slice 100gm,15.0,1.5,49.0,735.01,Cheese,2021,4,Apr,2,17,490.00666666666666
2021-04-28,Cheese Slice 100gm,14.0,1.4,54.99,769.82,Cheese,2021,4,Apr,2,17,549.8714285714286
2021-04-29,Cheese Slice 100gm,18.0,1.8,49.0,882.0,Cheese,2021,4,Apr,2,17,490.0
2021-04-30,Cheese Spread Plain 200gm,11.0,2.2,69.0,759.0,Cheese,2021,4,Apr,2,17,345.0
2021-04-30,Cheese Slice 100gm,20.0,2.0,49.35,987.02,Cheese,2021,4,Apr,2,17,493.51
2021-05-01,Cheese Slice 100gm,10.0,1.0,49.18,491.75,Cheese,2021,5,May,2,17,491.75
2021-05-02,Cheese Slice 100gm,5.0,0.5,49.0,245.01,Cheese,2021,5,May,2,17,490.02
2021-05-03,Cheese Spread Plain 200gm,1.0,0.2,69.01,69.01,Cheese,2021,5,May,2,18,345.05
2021-05-03,Cheese Spread Pepper 200gm,4.0,0.8,69.0,276.0,Cheese,2021,5,May,2,18,345.0
2021-05-03,Cheese Slice 100gm,19.0,1.9,52.55,998.5,Cheese,2021,5,May,2,18,525.5263157894738
2021-05-04,Cheese Spread Plain 200gm,7.0,1.4,69.17,484.22,Cheese,2021,5,May,2,18,345.8714285714286
2021-05-04,Cheese Slice 100gm,48.0,4.8,49.75,2388.15,Cheese,2021,5,May,2,18,497.53125000000006
2021-05-05,Cheese Spread Plain 200gm,12.0,2.4,70.67,848.06,Cheese,2021,5,May,2,18,353.35833333333335
2021-05-05,Cheese Slice 100gm,21.0,2.1,50.18,1053.71,Cheese,2021,5,May,2,18,501.76666666666665
2021-05-06,Cheese Spread Plain 200gm,2.0,0.4,69.61,139.22,Cheese,2021,5,May,2,18,348.04999999999995
2021-05-06,Cheese Slice 100gm,9.0,0.9,51.5,463.5,Cheese,2021,5,May,2,18,515.0
2021-05-07,Cheese Spread Plain 200gm,5.0,1.0,69.62,348.08,Cheese,2021,5,May,2,18,348.08
2021-05-07,Cheese Slice 100gm,10.0,1.0,52.97,529.7,Cheese,2021,5,May,2,18,529.7
2021-05-08,Cheese Spread Plain 200gm,9.0,1.8,70.74,636.64,Cheese,2021,5,May,2,18,353.68888888888887
2021-05-08,Cheese Slice 100gm,19.0,1.9,50.55,960.5,Cheese,2021,5,May,2,18,505.5263157894737
2021-05-10,Cheese Slice 100gm,8.0,0.8,49.0,392.02,Cheese,2021,5,May,2,19,490.025
2021-05-11,Cheese Spread Plain 200gm,6.0,1.2,69.62,417.7,Cheese,2021,5,May,2,19,348.0833333333333
2021-05-11,Cheese Slice 100gm,24.0,2.4,50.99,1223.65,Cheese,2021,5,May,2,19,509.85416666666674
2021-05-12,Cheese Spread Plain 200gm,5.0,1.0,74.66,373.29,Cheese,2021,5,May,2,19,373.29
2021-05-12,Cheese Slice 100gm,19.0,1.9,50.55,960.52,Cheese,2021,5,May,2,19,505.5368421052632
2021-05-13,Cheese Spread Plain 200gm,10.0,2.0,72.4,723.98,Cheese,2021,5,May,2,19,361.99
2021-05-13,Cheese Slice 100gm,29.0,2.9,50.55,1466.01,Cheese,2021,5,May,2,19,505.5206896551724
2021-05-14,Cheese Slice 100gm,42.0,4.2,50.05,2102.08,Cheese,2021,5,May,2,19,500.49523809523805
2021-05-16,Cheese Slice 100gm,30.0,3.0,49.0,1470.0,Cheese,2021,5,May,2,19,490.0
2021-05-17,Cheese Spread Plain 200gm,2.0,0.4,69.61,139.22,Cheese,2021,5,May,2,20,348.04999999999995
2021-05-17,Cheese Slice 100gm,25.0,2.5,50.29,1257.13,Cheese,2021,5,May,2,20,502.85200000000003
2021-05-18,Cheese Spread Plain 200gm,7.0,1.4,74.66,522.62,Cheese,2021,5,May,2,20,373.3
2021-05-18,Cheese Slice 100gm,34.0,3.4,55.46,1885.7,Cheese,2021,5,May,2,20,554.6176470588235
2021-05-19,Cheese Spread Plain 200gm,5.0,1.0,74.66,373.3,Cheese,2021,5,May,2,20,373.3
2021-05-19,Cheese Slice 100gm,18.0,1.8,52.33,942.0,Cheese,2021,5,May,2,20,523.3333333333334
2021-05-20,Cheese Slice 100gm,16.0,1.6,49.16,786.63,Cheese,2021,5,May,2,20,491.64374999999995
2021-05-21,Cheese Spread Plain 200gm,7.0,1.4,71.78,502.44,Cheese,2021,5,May,2,20,358.8857142857143
2021-05-21,Cheese Slice 100gm,12.0,1.2,49.44,593.25,Cheese,2021,5,May,2,20,494.375
2021-05-22,Cheese Spread Plain 200gm,4.0,0.8,71.83,287.31,Cheese,2021,5,May,2,20,359.1375
2021-05-22,Cheese Slice 100gm,37.0,3.7,49.07,1815.64,Cheese,2021,5,May,2,20,490.71351351351353
2021-05-23,Cheese Spread Plain 200gm,2.0,0.4,69.61,139.22,Cheese,2021,5,May,2,20,348.04999999999995
2021-05-24,Cheese Spread Plain 200gm,12.0,2.4,69.41,832.94,Cheese,2021,5,May,2,21,347.0583333333334
2021-05-24,Cheese Slice 100gm,14.0,1.4,50.95,713.34,Cheese,2021,5,May,2,21,509.52857142857147
2021-05-25,Cheese Spread Plain 200gm,4.0,0.8,69.0,276.01,Cheese,2021,5,May,2,21,345.0125
2021-05-25,Cheese Slice 100gm,23.0,2.3,49.06,1128.32,Cheese,2021,5,May,2,21,490.5739130434783
2021-05-26,Cheese Spread Plain 200gm,14.0,2.8,72.86,1019.99,Cheese,2021,5,May,2,21,364.2821428571429
2021-05-26,Cheese Slice 100gm,56.0,5.6,50.08,2804.34,Cheese,2021,5,May,2,21,500.77500000000003
2021-05-27,Cheese Spread Plain 200gm,3.0,0.6,69.0,207.0,Cheese,2021,5,May,2,21,345.0
2021-05-27,Cheese Slice 100gm,15.0,1.5,49.0,735.01,Cheese,2021,5,May,2,21,490.00666666666666
2021-05-28,Cheese Spread Plain 200gm,19.0,3.8,74.66,1418.54,Cheese,2021,5,May,2,21,373.3
2021-05-28,Cheese Slice 100gm,36.0,3.6,52.46,1888.38,Cheese,2021,5,May,2,21,524.5500000000001
2021-05-29,Cheese Spread Plain 200gm,8.0,1.6,71.12,568.97,Cheese,2021,5,May,2,21,355.60625
2021-05-29,Cheese Slice 100gm,3.0,0.3,56.5,169.5,Cheese,2021,5,May,2,21,565.0
2021-05-30,Cheese Spread Plain 200gm,3.0,0.6,69.0,207.0,Cheese,2021,5,May,2,21,345.0
2021-05-31,Cheese Slice 100gm,110.0,11.0,49.08,5398.77,Cheese,2021,5,May,2,22,490.79727272727274
2021-06-01,Cheese Spread Plain 200gm,3.0,0.6,69.0,207.0,Cheese,2021,6,Jun,2,22,345.0
2021-06-01,Cheese Slice 100gm,55.0,5.5,49.06,2698.51,Cheese,2021,6,Jun,2,22,490.63818181818186
2021-06-02,Cheese Spread Plain 200gm,8.0,1.6,69.39,555.08,Cheese,2021,6,Jun,2,22,346.925
2021-06-02,Cheese Slice 100gm,28.0,2.8,49.69,1391.4,Cheese,2021,6,Jun,2,22,496.9285714285715
2021-06-03,Cheese Spread Plain 200gm,8.0,1.6,69.46,555.69,Cheese,2021,6,Jun,2,22,347.30625000000003
2021-06-03,Cheese Slice 100gm,60.0,6.0,49.2,2951.83,Cheese,2021,6,Jun,2,22,491.97166666666664
2021-06-04,Cheese Spread Plain 200gm,32.0,6.4,73.24,2343.71,Cheese,2021,6,Jun,2,22,366.2046875
2021-06-04,Cheese Slice 100gm,12.0,1.2,55.32,663.88,Cheese,2021,6,Jun,2,22,553.2333333333333
2021-06-06,Cheese Slice 100gm,3.0,0.3,49.44,148.32,Cheese,2021,6,Jun,2,22,494.4
2021-06-07,Cheese Spread Plain 200gm,3.0,0.6,69.62,208.85,Cheese,2021,6,Jun,2,23,348.0833333333333
2021-06-08,Cheese Spread Plain 200gm,6.0,1.2,69.0,414.0,Cheese,2021,6,Jun,2,23,345.0
2021-06-08,Cheese Slice 100gm,48.0,4.8,50.63,2430.08,Cheese,2021,6,Jun,2,23,506.26666666666665
2021-06-09,Cheese Spread Plain 200gm,5.0,1.0,69.62,348.08,Cheese,2021,6,Jun,2,23,348.08
2021-06-09,Cheese Slice 100gm,52.0,5.2,49.1,2553.27,Cheese,2021,6,Jun,2,23,491.0134615384615
2021-06-10,Cheese Spread Plain 200gm,2.0,0.4,69.0,137.99,Cheese,2021,6,Jun,2,23,344.975
2021-06-10,Cheese Slice 100gm,35.0,3.5,49.13,1719.41,Cheese,2021,6,Jun,2,23,491.26000000000005
2021-06-11,Cheese Spread Plain 200gm,7.0,1.4,71.43,499.98,Cheese,2021,6,Jun,2,23,357.1285714285715
2021-06-11,Cheese Slice 100gm,23.0,2.3,49.0,1127.03,Cheese,2021,6,Jun,2,23,490.0130434782609
2021-06-12,Cheese Spread Plain 200gm,16.0,3.2,71.0,1136.01,Cheese,2021,6,Jun,2,23,355.00312499999995
2021-06-12,Cheese Slice 100gm,46.0,4.6,50.21,2309.46,Cheese,2021,6,Jun,2,23,502.05652173913046
2021-06-14,Cheese Spread Plain 200gm,7.0,1.4,71.78,502.44,Cheese,2021,6,Jun,2,24,358.8857142857143
2021-06-14,Cheese Slice 100gm,50.0,5.0,51.47,2573.46,Cheese,2021,6,Jun,2,24,514.692
2021-06-15,Cheese Spread Plain 200gm,2.0,0.4,69.61,139.22,Cheese,2021,6,Jun,2,24,348.04999999999995
2021-06-15,Cheese Slice 100gm,46.0,4.6,51.2,2355.41,Cheese,2021,6,Jun,2,24,512.045652173913
2021-06-16,Cheese Spread Plain 200gm,8.0,1.6,71.35,570.81,Cheese,2021,6,Jun,2,24,356.75624999999997
2021-06-16,Cheese Slice 100gm,31.0,3.1,49.73,1541.52,Cheese,2021,6,Jun,2,24,497.26451612903224
2021-06-17,Cheese Spread Plain 200gm,8.0,1.6,69.0,552.0,Cheese,2021,6,Jun,2,24,345.0
2021-06-17,Cheese Spread Chilly Garlic 200gm,12.0,2.4,69.0,828.01,Cheese,2021,6,Jun,2,24,345.00416666666666
2021-06-17,Cheese Spread Pepper 200gm,12.0,2.4,69.0,828.01,Cheese,2021,6,Jun,2,24,345.00416666666666
2021-06-17,Cheese Slice 100gm,96.0,9.6,50.22,4821.0,Cheese,2021,6,Jun,2,24,502.1875
2021-06-18,Cheese Spread Plain 200gm,15.0,3.0,73.9,1108.56,Cheese,2021,6,Jun,2,24,369.52
2021-06-18,Cheese Slice 100gm,43.0,4.3,52.24,2246.39,Cheese,2021,6,Jun,2,24,522.4162790697675
2021-06-19,Cheese Spread Chilly Garlic 200gm,5.0,1.0,69.0,345.0,Cheese,2021,6,Jun,2,24,345.0
2021-06-19,Cheese Spread Pepper 200gm,5.0,1.0,69.0,345.0,Cheese,2021,6,Jun,2,24,345.0
2021-06-19,Cheese Slice 100gm,83.0,8.3,49.05,4071.41,Cheese,2021,6,Jun,2,24,490.5313253012048
2021-06-20,Cheese Spread Plain 200gm,4.0,0.8,69.62,278.47,Cheese,2021,6,Jun,2,24,348.08750000000003
2021-06-20,Cheese Slice 100gm,3.0,0.3,49.0,147.01,Cheese,2021,6,Jun,2,24,490.0333333333333
2021-06-21,Cheese Spread Plain 200gm,15.0,3.0,72.85,1092.82,Cheese,2021,6,Jun,2,25,364.2733333333333
2021-06-21,Cheese Spread Chilly Garlic 200gm,6.0,1.2,72.77,436.64,Cheese,2021,6,Jun,2,25,363.8666666666667
2021-06-21,Cheese Spread Pepper 200gm,2.0,0.4,69.0,137.99,Cheese,2021,6,Jun,2,25,344.975
2021-06-21,Cheese Slice 100gm,20.0,2.0,55.44,1108.82,Cheese,2021,6,Jun,2,25,554.41
2021-06-22,Cheese Spread Plain 200gm,3.0,0.6,69.62,208.85,Cheese,2021,6,Jun,2,25,348.0833333333333
2021-06-22,Cheese Slice 100gm,31.0,3.1,49.23,1526.04,Cheese,2021,6,Jun,2,25,492.27096774193546
2021-06-23,Cheese Spread Plain 200gm,11.0,2.2,73.29,806.14,Cheese,2021,6,Jun,2,25,366.4272727272727
2021-06-23,Cheese Slice 100gm,41.0,4.1,49.91,2046.5,Cheese,2021,6,Jun,2,25,499.1463414634147
2021-06-24,Cheese Spread Plain 200gm,1.0,0.2,69.01,69.01,Cheese,2021,6,Jun,2,25,345.05
2021-06-24,Cheese Slice 100gm,27.0,2.7,49.0,1323.01,Cheese,2021,6,Jun,2,25,490.00370370370365
2021-06-25,Cheese Spread Plain 200gm,18.0,3.6,72.14,1298.59,Cheese,2021,6,Jun,2,25,360.71944444444443
2021-06-25,Cheese Spread Chilly Garlic 200gm,5.0,1.0,69.0,345.0,Cheese,2021,6,Jun,2,25,345.0
2021-06-25,Cheese Spread Pepper 200gm,5.0,1.0,69.0,345.0,Cheese,2021,6,Jun,2,25,345.0
2021-06-25,Cheese Slice 100gm,60.0,6.0,50.45,3026.89,Cheese,2021,6,Jun,2,25,504.4816666666666
2021-06-26,Cheese Slice 100gm,53.0,5.3,49.84,2641.48,Cheese,2021,6,Jun,2,25,498.3924528301887
2021-06-28,Cheese Spread Plain 200gm,5.0,1.0,69.62,348.08,Cheese,2021,6,Jun,2,26,348.08
2021-06-28,Cheese Spread Chilly Garlic 200gm,2.0,0.4,69.61,139.22,Cheese,2021,6,Jun,2,26,348.04999999999995
2021-06-28,Cheese Spread Pepper 200gm,2.0,0.4,69.61,139.22,Cheese,2021,6,Jun,2,26,348.04999999999995
2021-06-28,Cheese Slice 100gm,68.0,6.8,49.83,3388.39,Cheese,2021,6,Jun,2,26,498.29264705882355
2021-06-29,Cheese Spread Plain 200gm,6.0,1.2,69.11,414.63,Cheese,2021,6,Jun,2,26,345.52500000000003
2021-06-29,Cheese Slice 100gm,66.0,6.6,49.14,3243.21,Cheese,2021,6,Jun,2,26,491.3954545454546
2021-06-30,Cheese Spread Plain 200gm,8.0,1.6,72.54,580.29,Cheese,2021,6,Jun,2,26,362.68125
2021-06-30,Cheese Slice 100gm,54.0,5.4,50.05,2702.89,Cheese,2021,6,Jun,2,26,500.5351851851851
2021-07-01,Cheese Slice 100gm,22.0,2.2,49.0,1078.0,Cheese,2021,7,Jul,3,26,489.99999999999994
2021-07-02,Cheese Spread Plain 200gm,9.0,1.8,72.77,654.97,Cheese,2021,7,Jul,3,26,363.8722222222222
2021-07-02,Cheese Slice 100gm,32.0,3.2,51.56,1650.01,Cheese,2021,7,Jul,3,26,515.628125
2021-07-03,Cheese Spread Plain 200gm,13.0,2.6,73.5,955.45,Cheese,2021,7,Jul,3,26,367.4807692307692
2021-07-03,Cheese Slice 100gm,24.0,2.4,53.74,1289.82,Cheese,2021,7,Jul,3,26,537.425
2021-07-05,Cheese Spread Plain 200gm,2.0,0.4,69.61,139.22,Cheese,2021,7,Jul,3,27,348.04999999999995
2021-07-05,Cheese Slice 100gm,47.0,4.7,49.03,2304.32,Cheese,2021,7,Jul,3,27,490.2808510638298
2021-07-06,Cheese Spread Plain 200gm,3.0,0.6,69.62,208.85,Cheese,2021,7,Jul,3,27,348.0833333333333
2021-07-06,Cheese Spread Chilly Garlic 200gm,2.0,0.4,69.0,137.99,Cheese,2021,7,Jul,3,27,344.975
2021-07-06,Cheese Spread Pepper 200gm,2.0,0.4,69.0,137.99,Cheese,2021,7,Jul,3,27,344.975
2021-07-06,Cheese Slice 100gm,45.0,4.5,50.97,2293.59,Cheese,2021,7,Jul,3,27,509.6866666666667
2021-07-07,Cheese Spread Plain 200gm,2.0,0.4,69.01,138.02,Cheese,2021,7,Jul,3,27,345.05
2021-07-07,Cheese Spread Chilly Garlic 200gm,5.0,1.0,71.63,358.17,Cheese,2021,7,Jul,3,27,358.17
2021-07-07,Cheese Spread Pepper 200gm,2.0,0.4,69.61,139.22,Cheese,2021,7,Jul,3,27,348.04999999999995
2021-07-07,Cheese Slice 100gm,77.0,7.7,50.0,3850.22,Cheese,2021,7,Jul,3,27,500.0285714285714
2021-07-08,Cheese Spread Plain 200gm,8.0,1.6,70.42,563.32,Cheese,2021,7,Jul,3,27,352.075
2021-07-08,Cheese Slice 100gm,21.0,2.1,50.07,1051.52,Cheese,2021,7,Jul,3,27,500.7238095238095
2021-07-09,Cheese Slice 100gm,33.0,3.3,51.5,1699.52,Cheese,2021,7,Jul,3,27,515.0060606060606
2021-07-10,Cheese Spread Plain 200gm,6.0,1.2,69.0,414.0,Cheese,2021,7,Jul,3,27,345.0
2021-07-10,Cheese Spread Chilly Garlic 200gm,6.0,1.2,69.0,414.0,Cheese,2021,7,Jul,3,27,345.0
2021-07-10,Cheese Spread Pepper 200gm,5.0,1.0,69.0,344.99,Cheese,2021,7,Jul,3,27,344.99
2021-07-10,Cheese Slice 100gm,15.0,1.5,49.0,735.01,Cheese,2021,7,Jul,3,27,490.00666666666666
2021-07-12,Cheese Spread Plain 200gm,8.0,1.6,71.35,570.81,Cheese,2021,7,Jul,3,28,356.75624999999997
2021-07-12,Cheese Slice 100gm,44.0,4.4,49.44,2175.4,Cheese,2021,7,Jul,3,28,494.4090909090909
2021-07-13,Cheese Spread Plain 200gm,4.0,0.8,69.62,278.47,Cheese,2021,7,Jul,3,28,348.08750000000003
2021-07-13,Cheese Slice 100gm,27.0,2.7,49.13,1326.53,Cheese,2021,7,Jul,3,28,491.30740740740737
2021-07-14,Cheese Spread Plain 200gm,6.0,1.2,70.89,425.33,Cheese,2021,7,Jul,3,28,354.44166666666666
2021-07-14,Cheese Slice 100gm,38.0,3.8,53.34,2027.0,Cheese,2021,7,Jul,3,28,533.421052631579
2021-07-15,Cheese Spread Plain 200gm,14.0,2.8,69.18,968.48,Cheese,2021,7,Jul,3,28,345.8857142857143
2021-07-15,Cheese Spread Chilly Garlic 200gm,4.0,0.8,69.62,278.47,Cheese,2021,7,Jul,3,28,348.08750000000003
2021-07-15,Cheese Spread Pepper 200gm,4.0,0.8,69.62,278.47,Cheese,2021,7,Jul,3,28,348.08750000000003
2021-07-15,Cheese Slice 100gm,30.0,3.0,49.22,1476.59,Cheese,2021,7,Jul,3,28,492.19666666666666
2021-07-16,Cheese Spread Plain 200gm,3.0,0.6,74.66,223.97,Cheese,2021,7,Jul,3,28,373.28333333333336
2021-07-16,Cheese Slice 100gm,30.0,3.0,51.32,1539.7,Cheese,2021,7,Jul,3,28,513.2333333333333
2021-07-17,Cheese Spread Plain 200gm,6.0,1.2,69.62,417.7,Cheese,2021,7,Jul,3,28,348.0833333333333
2021-07-17,Cheese Slice 100gm,92.0,9.2,49.1,4517.63,Cheese,2021,7,Jul,3,28,491.04673913043484
2021-07-18,Cheese Slice 100gm,22.0,2.2,49.0,1078.02,Cheese,2021,7,Jul,3,28,490.00909090909084
2021-07-19,Cheese Spread Plain 200gm,12.0,2.4,71.72,860.6,Cheese,2021,7,Jul,3,29,358.58333333333337
2021-07-19,Cheese Slice 100gm,68.0,6.8,50.39,3426.4,Cheese,2021,7,Jul,3,29,503.8823529411765
2021-07-20,Cheese Spread Plain 200gm,6.0,1.2,69.62,417.7,Cheese,2021,7,Jul,3,29,348.0833333333333
2021-07-20,Cheese Slice 100gm,32.0,3.2,49.3,1577.68,Cheese,2021,7,Jul,3,29,493.025
2021-07-21,Cheese Slice 100gm,38.0,3.8,49.63,1885.84,Cheese,2021,7,Jul,3,29,496.2736842105263
2021-07-22,Cheese Spread Plain 200gm,2.0,0.4,69.0,137.99,Cheese,2021,7,Jul,3,29,344.975
2021-07-22,Cheese Slice 100gm,19.0,1.9,49.0,931.01,Cheese,2021,7,Jul,3,29,490.0052631578948
2021-07-23,Cheese Spread Plain 200gm,27.0,5.4,70.75,1910.13,Cheese,2021,7,Jul,3,29,353.72777777777776
2021-07-23,Cheese Spread Chilly Garlic 200gm,11.0,2.2,69.0,759.0,Cheese,2021,7,Jul,3,29,345.0
2021-07-23,Cheese Spread Pepper 200gm,11.0,2.2,69.0,759.0,Cheese,2021,7,Jul,3,29,345.0
2021-07-23,Cheese Slice 100gm,92.0,9.2,49.82,4583.0,Cheese,2021,7,Jul,3,29,498.1521739130435
2021-07-24,Cheese Spread Plain 200gm,2.0,0.4,69.61,139.22,Cheese,2021,7,Jul,3,29,348.04999999999995
2021-07-24,Cheese Slice 100gm,31.0,3.1,49.21,1525.58,Cheese,2021,7,Jul,3,29,492.12258064516124
2021-07-25,Cheese Spread Plain 200gm,17.0,3.4,74.66,1269.22,Cheese,2021,7,Jul,3,29,373.3
2021-07-25,Cheese Spread Chilly Garlic 200gm,5.0,1.0,69.0,345.0,Cheese,2021,7,Jul,3,29,345.0
2021-07-25,Cheese Spread Pepper 200gm,4.0,0.8,69.0,276.01,Cheese,2021,7,Jul,3,29,345.0125
2021-07-25,Cheese Slice 100gm,13.0,1.3,49.44,642.7,Cheese,2021,7,Jul,3,29,494.3846153846154
2021-07-28,Cheese Spread Plain 200gm,3.0,0.6,74.66,223.97,Cheese,2021,7,Jul,3,30,373.28333333333336
2021-07-28,Cheese Spread Chilly Garlic 200gm,2.0,0.4,74.66,149.32,Cheese,2021,7,Jul,3,30,373.29999999999995
2021-07-29,Cheese Spread Plain 200gm,31.0,6.2,69.56,2156.25,Cheese,2021,7,Jul,3,30,347.7822580645161
2021-07-29,Cheese Spread Chilly Garlic 200gm,5.0,1.0,69.62,348.08,Cheese,2021,7,Jul,3,30,348.08
2021-07-30,Cheese Spread Plain 200gm,5.0,1.0,69.62,348.08,Cheese,2021,7,Jul,3,30,348.08
2021-07-31,Cheese Spread Plain 200gm,3.0,0.6,69.62,208.85,Cheese,2021,7,Jul,3,30,348.0833333333333
2021-08-02,Cheese Slice 100gm,99.0,9.9,50.06,4956.02,Cheese,2021,8,Aug,3,31,500.60808080808084
2021-08-03,Cheese Spread Plain 200gm,13.0,2.6,69.0,897.02,Cheese,2021,8,Aug,3,31,345.0076923076923
2021-08-03,Cheese Spread Chilly Garlic 200gm,1.0,0.2,69.01,69.01,Cheese,2021,8,Aug,3,31,345.05
2021-08-03,Cheese Slice 100gm,69.0,6.9,49.0,3381.05,Cheese,2021,8,Aug,3,31,490.0072463768116
2021-08-04,Cheese Spread Plain 200gm,10.0,2.0,70.0,699.99,Cheese,2021,8,Aug,3,31,349.995
